backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
4,115,5,"music/world music""",music,SG,5180400,5180401,0.73532223,3000,36,4,FALSE,FALSE,0,23.85452682
17,32,3,"film & video/narrative film""",film & video,US,6960772,6961618,1,2000,38,5,TRUE,FALSE,1,2065.0
47,135,16,"art/illustration""",art,GB,2471389,2471391,1.29030427,250,47,21,TRUE,FALSE,1,1072.13596718
59,135,24,"music/world music""",music,US,2592000,2592000,1,3000,53,12,TRUE,TRUE,1,4165.0
23,126,4,"journalism""",journalism,IT,2505600,2505600,1.18467411,1000,27,1,TRUE,FALSE,1,1114.1731336
78,117,4,"journalism/web""",journalism,GB,2592000,2592001,1.29030427,2000,7,2,TRUE,TRUE,1,3018.71338575
392,134,2,"journalism/audio""",journalism,US,2592000,2592000,1,6600,51,9,TRUE,TRUE,1,16635.0
277,103,8,"film & video/narrative film""",film & video,US,3142355,3142355,1,20000,30,4,TRUE,FALSE,1,21390.0
28,98,19,"games/live games""",games,US,2608311,2608325,1,2500,47,8,TRUE,FALSE,1,2793.33
87,98,10,"technology/gadgets""",technology,NZ,2765505,2765505,0.67269989,4500,57,5,TRUE,FALSE,1,3209.2187182184
555,80,1,"art/illustration""",art,CA,1814400,1814400,0.75905419,325,31,5,TRUE,FALSE,1,21066.945083860700
45,133,4,"art/ceramics""",art,US,2592000,2592001,1,6500,23,3,TRUE,FALSE,1,6500.0
23419,80,2,"games/tabletop games""",games,US,1468800,1468800,1,50000,37,7,TRUE,TRUE,1,2765125.940000000000
5,129,7,"film & video/television""",film & video,US,2592000,2592004,1,50000,58,7,FALSE,FALSE,0,92.0
1,107,2,"film & video/television""",film & video,US,2592000,2592000,1,100000,45,6,FALSE,FALSE,0,1.0
4246,135,5,"games/tabletop games""",games,US,3196800,2,1,11000,60,9,FALSE,FALSE,NA,384350.0
60,95,2,"music/world music""",music,US,2112195,2112195,1,2000,29,4,TRUE,FALSE,1,3248.0
29,80,1,"theater/festivals""",theater,GB,2614469,2614470,1.29030427,3000,47,10,TRUE,FALSE,1,4210.95505545
132,75,12,"technology/gadgets""",technology,US,5187600,5187600,1,5000,60,7,TRUE,FALSE,1,6144.0
32,133,4,"publishing/anthologies""",publishing,US,2595600,2595601,1,300,28,5,TRUE,FALSE,1,342.0
2,40,0,"photography/nature""",photography,GB,2592000,2592000,1.29030427,3000,15,1,FALSE,FALSE,0,3.0300597
1,78,0,"music/hip-hop""",music,US,2592000,2592000,1,20000,38,1,FALSE,FALSE,0,10.0
0,114,1,"publishing/anthologies""",publishing,MX,5184000,361865,0.04736045,50000,53,5,FALSE,FALSE,0,0.0
7,42,1,"publishing/literary spaces""",publishing,FR,3024000,3024002,1.18467411,7000,29,23,FALSE,FALSE,0,88.44850725
36,126,29,"dance/performances""",dance,US,1770598,1770599,1,2500,32,19,TRUE,FALSE,1,2676.0
85,134,4,"technology/gadgets""",technology,US,3456000,3456001,1,25000,24,8,TRUE,TRUE,1,28200.0
2,135,18,"games/live games""",games,US,3129666,3129670,1,27000,27,9,FALSE,FALSE,0,2.0
14,98,1,"publishing/zines""",publishing,US,5184000,5184000,1,1000,54,3,TRUE,FALSE,1,1338.0
1,126,1,"music/world music""",music,MX,1859754,1859755,0.04736045,3000,23,1,FALSE,FALSE,0,0.50003
2,117,3,"film & video/television""",film & video,US,3888000,3888002,1,85000,17,3,FALSE,FALSE,0,125.0
393,98,1,"photography/nature""",photography,US,3888000,3888001,1,12000,59,16,TRUE,FALSE,1,35930.0
589,131,11,"games/tabletop games""",games,US,1900800,1900801,1,30000,17,5,TRUE,FALSE,1,67742.5
0,124,4,"music/hip-hop""",music,US,2592000,2592000,1,6000,51,11,FALSE,FALSE,0,0.0
832,41,5,"games/tabletop games""",games,US,2458786,2458786,1,10000,25,7,TRUE,FALSE,1,35729.0
1,126,9,"music/world music""",music,US,5180400,5180401,1,10000,41,8,FALSE,FALSE,0,1.0
106,122,10,"games/live games""",games,DE,2592000,2592001,1.18467411,3500,22,7,TRUE,TRUE,1,6764.999025
0,100,7,"games/live games""",games,US,2592000,2521622,1,1500,33,8,FALSE,FALSE,0,0.0
22,112,1,"art/illustration""",art,US,2592000,2592000,1,800,36,5,TRUE,FALSE,1,836.0
94,107,5,"dance/performances""",dance,GB,4956418,4956418,1.29030427,15000,59,5,TRUE,TRUE,1,19822.474987500000
156,110,2,"games/tabletop games""",games,US,1209600,1209600,1,800,10,2,TRUE,FALSE,1,1604.0
0,67,5,"music/hip-hop""",music,US,2592000,2592001,1,1000,35,4,FALSE,FALSE,0,0.0
41,132,7,"journalism/audio""",journalism,US,2592000,2592002,1,550,21,8,TRUE,FALSE,1,1565.0
141,42,1,"music/world music""",music,US,2588400,2588400,1,9000,37,3,TRUE,FALSE,1,9140.0
3,18,10,"film & video/television""",film & video,US,2595600,2595600,1,5000,9,8,FALSE,FALSE,0,111.0
104,122,13,"games/live games""",games,AU,3306578,3306578,0.73170286,100000,54,7,FALSE,FALSE,0,35250.446041153200
